Проект,Контрагент,Период,План,Среднее за месяц,1 неделя,2 неделя,3 неделя,4 неделя,5 неделя,Дельта,Дельта (%)
Дмитровский,ООО Пакс Механизация,ноя.25,12,1,0,0,0,3,3,-11,-90%
Дмитровский,ООО СК Сети,ноя.25,7,7,0,0,11,11,11,0,-6%
Дмитровский,ООО СТМ Оскол,ноя.25,7,0,0,0,0,0,0,-7,-100%
Дмитровский,ООО СтройСервис,ноя.25,20,1,1,1,1,0,0,-19,-97%
Дмитровский,ООО Альфа С (БЛОК U3 U4),ноя.25,59,8,,,5,9,10,-51,-86%
Дмитровский,ООО Инвесткомстрой (БЛОК U1 U2),ноя.25,59,2,,,0,2,5,-57,-96%
Ленинский,ООО САВ-Строй (вертикальная планировка),ноя.25,15,4,0,0,10,10,0,-11,-73%
Ленинский,ООО Стройдекор,ноя.25,45,6,9,9,13,0,0,-39,-86%
Ленинский,ООО СвайСпецСтрой,ноя.25,12,3,,,3,3,2,-9,-78%
Есипово V,ООО Апекс Контракшн,ноя.25,20,1,0,0,2,1,1,-19,-96%
Есипово V,ООО Мегастрой ,ноя.25,7,3,0,0,5,5,3,-4,-63%
Есипово V,ООО Технофло,ноя.25,7,0,0,0,0,0,0,-7,-100%
Есипово V,СТМ - Оскол,ноя.25,7,0,0,0,0,0,0,-7,-100%
Есипово V,ООО Стройдекор,ноя.25,7,3,0,0,9,0,4,-4,-63%
