Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД;Режим_задачи;Тип;Календарь_задачи
0%;1246 д;01.11.24;30.03.28;01.11.24;30.03.28;1246 д;;;1;;1;209;;;НД;Есипово5;;E5;1;;Автоматическое планирование;Фикс. длительность;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;2;;2;210;;;НД;ПРОДУКТ;;;2;;Автоматическое планирование;Фикс. длительность;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;3;;3;211;;;НД;Этап ГОТОВЫЙ ПРОДУКТ;;;4;;Автоматическое планирование;Фикс. длительность;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;4;212;;;НД;Предварительные планировочные решения ,;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;5;213;;;НД;Предварительный расчёт нагрузок;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;6;214;;;НД;Due diligence. Юридический анализ правового статуса земельного участка (при необходимости);;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;7;215;;;НД;Эскизный проект , корректировка эскизного проекта;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;8;216;;;НД;Структура безопасности объекта и техническое задание на проектирование;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;9;217;;;НД;Эскизный проект ( ГП, АР) + таблица КО;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;10;218;;;НД;Предварительный расчёт нагрузок (уточнённый);;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;11;219;;;НД;Входной контроль ЭП и передача в работу на УСР;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;12;220;;;НД;Приказ о наименовании объекта;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;13;221;;;НД;Технические задания на строения , Техническое задание на общую инфраструктуру;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;14;222;;;НД;Укрупнённый сметный расчёт;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;15;223;;;НД;График прямых затрат (СМР, ИРД);;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;16;224;;;НД;Перерасчет графика прямых затрат за 2 месяца до получения Р/С;;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
0%;1 д;01.11.24;01.11.24;01.11.24;01.11.24;1 д;;;4;;17;225;;;НД;Технические описания на помещения (Боксы);;;5;;Автоматическое планирование;Фикс. объем ресурсов;Календарные дни
