;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1 неделя;1 неделя;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;;
Проект;Подрядчик;тип ресурсов;01.01.2026;02..01.2026;среднее значение за день;05.01.2026;06.01.2026;07.01.2026;08.01.2026;09.01.2026;среднее значение за день;12.01.2026;13.01.2026;14.01.2026;15.01.2026;16.01.2026;среднее значение за день;19.01.2026;20.01.2026;21.01.2026;22.01.2026;23.01.2026;среднее значение за день;26.01.2026;27.01.2026;28.01.2026;29.01.2026;30.01.2026;среднее значение за день;тип ресурсов;среднее значение количество ресурсов в день за месяц
Дмитровский1;СК СЕТИ ООО;рабочие;;; ;10;19;10;20;18;15;19;14;8;9;9;12;12;12;12;12;12;12;19;19;12;12;12;15;рабочие;13
Дмитровский1;СК СЕТИ ООО;техника;;; ;0;6;6;6;6;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;техника;5
Дмитровский1;ИС КЛИНИНГ ООО;рабочие;;; ;4;4;5;4;4;4;5;4;8;8;8;7;8;8;8;8;12;9;12;12;11;11;12;12;рабочие;9
Дмитровский1;ИС КЛИНИНГ ООО;техника;;; ;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;техника;1
Дмитровский1;Инвестком;рабочие;;; ;5;10;10;10;10;9;5;9;12;4;11;8;10;10;10;10;10;10;11;11;11;11;11;11;рабочие;10
Дмитровский1;Инвестком;техника;;; ;0;3;3;3;3;2;3;3;3;3;3;3;4;4;5;5;0;4;5;5;5;5;5;5;техника;4
Дмитровский1;АЛЬФА ООО;рабочие;;; ;21;21;17;25;26;22;29;23;29;22;28;26;28;28;28;28;28;28;27;23;28;28;28;27;рабочие;27
Дмитровский1;АЛЬФА ООО;техника;;; ;0;9;5;8;9;6;9;10;10;10;10;10;13;17;8;13;14;13;14;14;13;15;15;14;техника;12
Ленинский;ПАКС МЕХАНИЗАЦИЯ ООО;рабочие;;; ;13;15;1;1;13;9;18;17;17;15;20;17;27;27;32;34;33;31;30;33;50;42;45;40;рабочие;29
