;;;;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;5 неделя;6 неделя;6 неделя;
ID Проекта;Наименование проекта;Подрядчик;Тип ресурсов;01.03.2026;02.03.2026;03.03.2026;04.03.2026;05.03.2026;06.03.2026;07.03.2026;08.03.2026;09.03.2026;10.03.2026;11.03.2026;12.03.2026;13.03.2026;14.03.2026;15.03.2026;16.03.2026;17.03.2026;18.03.2026;19.03.2026;20.03.2026;21.03.2026;22.03.2026;23.03.2026;24.03.2026;25.03.2026;26.03.2026;27.03.2026;28.03.2026;29.03.2026;30.03.2026;31.03.2026;тип ресурсов
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО Пакс Механизация;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО Пакс Механизация;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО Гринстрой;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО Гринстрой;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО СК Сети;рабочие;18;22;22;22;22;25;12;9;16;17;16;19;21;14;15;11;11;11;11;10;8;10;12;12;8;10;8;5;5;7;6;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО СК Сети;техника;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;2;2;2;2;1;1;1;1;1;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО СТМ Оскол;рабочие;3;2;2;2;2;2;0;0;0;0;2;2;3;3;2;2;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО СТМ Оскол;техника;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ООО ИС Клининг;рабочие;7;12;12;12;12;12;8;8;8;12;12;12;12;8;8;11;10;12;11;10;7;7;12;11;11;12;12;8;8;12;12;рабочие
