;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1 неделя;1 неделя;1 неделя;1 неделя;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;
ID Проекта;Наименование проекта;ID Подрядчика;Подрядчик_new;Подрядчик_old;Тип ресурсов;01.04.2026;02.04.2026;03.04.2026;04.04.2026;05.04.2026;06.04.2026;07.04.2026;08.04.2026;09.04.2026;10.04.2026;11.04.2026;12.04.2026;13.04.2026;14.04.2026;15.04.2026;16.04.2026;17.04.2026;18.04.2026;19.04.2026;20.04.2026;21.04.2026;22.04.2026;23.04.2026;24.04.2026;25.04.2026;26.04.2026;27.04.2026;28.04.2026;29.04.2026;30.04.2026;Тип ресурсов
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;808d87d5-6623-11f0-a555-005056026d24;ПАКС МЕХАНИЗАЦИЯ ООО;ООО Пакс Механизация;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;808d87d5-6623-11f0-a555-005056026d24;ПАКС МЕХАНИЗАЦИЯ ООО;ООО Пакс Механизация;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО Гринстрой;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;#Н/Д;;ООО Гринстрой;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ff3bfe48-8c95-11f0-a557-005056026d24;СК СЕТИ ООО;ООО СК Сети;рабочие;6;7;6;5;5;5;6;6;6;6;4;0;4;5;5;5;5;3;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ff3bfe48-8c95-11f0-a557-005056026d24;СК СЕТИ ООО;ООО СК Сети;техника;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ed31eb4d-defa-11ef-a553-005056026d24;СТМ-ОСКОЛ ООО;ООО СТМ Оскол;рабочие;2;0;0;1;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;ed31eb4d-defa-11ef-a553-005056026d24;СТМ-ОСКОЛ ООО;ООО СТМ Оскол;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;0ccd165e-cdbe-11eb-8bb8-005056b93b75;ИС КЛИНИНГ ООО;ООО ИС Клининг;рабочие;12;11;12;7;8;11;11;11;12;12;8;7;11;10;9;10;11;8;7;10;11;11;9;9;7;8;9;9;10;10;рабочие
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;0ccd165e-cdbe-11eb-8bb8-005056b93b75;ИС КЛИНИНГ ООО;ООО ИС Клининг;техника;1;1;1;1;1;1;3;3;1;1;1;1;1;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;техника
0feb8a44-a0f4-11ef-af7f-0050560209d5;Дмитровский-1;d54cdf02-b3d8-11f0-a55a-005056026d24;ИКС ООО;ООО Инвесткомстрой (БЛОК U1 U2);рабочие;15;13;11;2;0;9;7;2;4;10;10;0;9;8;10;12;16;8;0;18;18;16;12;21;13;13;7;2;17;19;рабочие
