"Import_date";"1C_ID_PODR";"1C_ID_CONTR";"1C_ID_LOT";"DocID";"DocDescription";"InternalID";"CreationDate";"DocNumber";"KrState";"KrStateID";"CONTRID";"CONTR";"KindID";"KindName";"Name";"ObjectID";"ObjectName";"Lot"
27.03.2026;cd482ca4-c072-11f0-a55a-005056026d24;d3a8434a-c072-11f0-a55a-005056026d24;;757b980f-1483-4171-9ced-eb3f2213f637;2 от 26.03.2026 Комплект ИД;2;26.03.2026 03:00:00;86;На согласовании;1;0d9a4788-df37-4fc7-af66-298e4c71b06f;СК СТРОЙМОНТАЖ ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;2b696512-d445-11f0-a55a-005056026d24;f26acbaf-d445-11f0-a55a-005056026d24;;fcdfdb97-b75b-4d5f-9291-a5bd451c65a0;;№1;26.03.2026 03:00:00;85;На согласовании;1;1b516353-25c9-4fc8-ad82-d7b0a893dc3a;М2 ИНЖИНИРИНГ ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Исполнительная документация по фундаментам;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;1244aa21-d445-11f0-a55a-005056026d24;696547a0-d4e0-11f0-a55a-005056026d24;;deb17fd9-8e56-42d0-ae65-de8302e0e697;1-КЖ1-Е от 26.01.2026 Комплект ИД;1-КЖ1-Е;26.03.2026 03:00:00;84;На доработке;4;68aed029-efce-4947-92db-4ccec28916cd;БИ ТУ БИ КОНСТРАКШЕН ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Конструкции железобетонные. Фундаменты. Блок Е.;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;;;;9cec36ec-4f0e-4964-9031-2943d8ffefdf;43 от 23.03.2026 Предписания;43;24.03.2026 03:00:00;83;Проект;0;54165605-f641-4ce8-9f2f-1814e95a755f;"ООО ""Стройтраст""";347986da-8964-4307-8973-28c22842005c;Предписания;;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;;;;1d9cf500-08cf-46b2-a129-c676b5109933;42 от 23.03.2026 Предписания;42;24.03.2026 03:00:00;82;Проект;0;54165605-f641-4ce8-9f2f-1814e95a755f;"ООО ""Стройтраст""";347986da-8964-4307-8973-28c22842005c;Предписания;откачка воды;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;;;;bc089222-e758-4fa1-b6c0-f3734a971f3e;41 от 18.03.2026 Предписания;41;24.03.2026 03:00:00;81;Проект;0;54165605-f641-4ce8-9f2f-1814e95a755f;"ООО ""Стройтраст""";347986da-8964-4307-8973-28c22842005c;Предписания;водопонижение;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;cd482ca4-c072-11f0-a55a-005056026d24;d3a8434a-c072-11f0-a55a-005056026d24;;8c17c16c-d3fa-47bf-8a24-2f626c9141f1;2 от 23.03.2026 Комплект ИД;2;23.03.2026 03:00:00;80;Проект;0;0d9a4788-df37-4fc7-af66-298e4c71b06f;СК СТРОЙМОНТАЖ ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;4cb920ca-b0cf-11f0-a55a-005056026d24;;;d200a0ce-4aa9-4a29-baf5-a8483bf9afc6;ХСА-69 от 18.03.2026 Предписания;ХСА-69;19.03.2026 03:00:00;79;Проект;0;ade8f5f2-3e06-4265-a99b-5df28ec3fba3;АЛЬФА С ООО;347986da-8964-4307-8973-28c22842005c;Предписания;"Материалы, применяемые при строительстве (Металлоконструкции Блока А, профилированные листы Н114-750-1.0, арматура А500) складированы с нарушением правил хранения. ";28efbbf0-238e-4144-9871-f3e90c4d2200;Дмитровский I;
27.03.2026;6293853e-0688-11f1-a55c-005056026d24;;;1dbca0be-a0f7-4c9c-87c9-a6b2cba0645b;40 от 16.03.2026 Предписания;40;16.03.2026 03:00:00;78;На ознакомлении;12;57ce9bed-d183-4216-8eaf-e878da5caec2;ПРОФИ СТРОЙ ООО;347986da-8964-4307-8973-28c22842005c;Предписания;;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
27.03.2026;6293853e-0688-11f1-a55c-005056026d24;a695351d-0688-11f1-a55c-005056026d24;;8e8eb840-b745-4e82-856f-780431829495;1/Е5/А/КЖ1 от 12.03.2026 Комплект ИД;1/Е5/А/КЖ1;12.03.2026 03:00:00;77;На подписании;10;57ce9bed-d183-4216-8eaf-e878da5caec2;ПРОФИ СТРОЙ ООО;6b50bbf7-9383-4eb6-8451-7c27e98cf7fe;Комплект ИД;Котлованы под фундаменты. Раздел КЖ1;bc5d5e62-6671-4cbd-84e1-0c85dd9c05c2;Есипово V;
